id	survived	pclass	sex	age	sibsp	parch	fare	embarked
3	1	1	female	35	1	0	53.1	S
4	0	3	male	35	0	0	8.05	S
7	0	3	male	2	3	1	21.075	S
9	1	2	female	14	1	0	30.0708	C
11	1	1	female	58	0	0	26.55	S
13	0	3	male	39	1	5	31.275	S
16	0	3	male	2	4	1	29.125	Q
19	1	3	female		0	0	7.225	C
23	1	1	male	28	0	0	35.5	S
24	0	3	female	8	3	1	21.075	S
25	1	3	female	38	1	5	31.3875	S
26	0	3	male		0	0	7.225	C
28	1	3	female		0	0	7.8792	Q
29	0	3	male		0	0	7.8958	S
32	1	3	female		0	0	7.75	Q
33	0	2	male	66	0	0	10.5	S
36	1	3	male		0	0	7.2292	C
41	0	2	female	27	1	0	21	S
42	0	3	male		0	0	7.8958	C
43	1	2	female	3	1	2	41.5792	C
44	1	3	female	19	0	0	7.8792	Q
47	1	3	female		0	0	7.75	Q
53	1	2	female	29	1	0	26	S
56	1	2	female	21	0	0	10.5	S
57	0	3	male	28.5	0	0	7.2292	C
58	1	2	female	5	1	2	27.75	S
59	0	3	male	11	5	2	46.9	S
61	1	1	female	38	0	0	80	
63	0	3	male	4	3	2	27.9	S
67	0	3	male	19	0	0	8.1583	S
69	0	3	male	26	2	0	8.6625	S
70	0	2	male	32	0	0	10.5	S
72	0	2	male	21	0	0	73.5	S
73	0	3	male	26	1	0	14.4542	C
80	0	3	male	22	0	0	9	S
82	1	3	female		0	0	7.7875	Q
83	0	1	male	28	0	0	47.1	S
84	1	2	female	17	0	0	10.5	S
86	0	3	male	16	1	3	34.375	S
87	0	3	male		0	0	8.05	S
88	1	1	female	23	3	2	263	S
91	0	3	male	20	0	0	7.8542	S
93	0	3	male	26	1	2	20.575	S
94	0	3	male	59	0	0	7.25	S
95	0	3	male		0	0	8.05	S
98	1	2	female	34	0	1	23	S
99	0	2	male	34	1	0	26	S
106	1	3	female	21	0	0	7.65	S
110	0	1	male	47	0	0	52	S
111	0	3	female	14.5	1	0	14.4542	C
112	0	3	male	22	0	0	8.05	S
114	0	3	female	17	0	0	14.4583	C
115	0	3	male	21	0	0	7.925	S
